product-name,url,description
"Fire-Boltt Ninja Call Pro Plus 1.83"" Smart Watch with Bluetooth Calling",https://m.media-amazon.com/images/I/61AHiYyu3ZL._SX679_.jpg,"Labels: 'Smile', 'Gesture', 'Gadget', 'Audio equipment', 'Font', 'Communication Device', 'Auto part', 'Output device', 'Clock', 'Wrist', Texts: 'FIRE BOLTT\n12\n35', 'FIRE', 'BOLTT', '12', '35', Logos: , Objects: 'Watch', 'Person', 'Person'"
Milton Prudent 1100 Thermosteel 24 Hours Hot and Cold Water Bottle,https://m.media-amazon.com/images/I/71TLCsrjEnL._SX679_.jpg,"Labels: 'Liquid', 'Bottle', 'Drinkware', 'Fluid', 'Plastic bottle', 'Glass bottle', 'Alcoholic beverage', 'Cylinder', 'Electric blue', 'Drink', Texts: 'milton', 'milton', Logos: 'Tim Hortons', Objects: 'Bottle', 'Bottle'"
MILTON Aqua 500 Stainless Steel Water Bottle 500-ml Light-Pink,https://m.media-amazon.com/images/I/51AOvn+e1QL._SX679_.jpg,"Labels: 'Liquid', 'Bottle', 'Fluid', 'Tints and shades', 'Plastic bottle', 'Magenta', 'Drink', 'Cylinder', 'Plastic', 'Peach', Texts: 'milton', 'milton', Logos: , Objects: "
"Redmi 12 (Moonstone Silver,6GB RAM, 128GB Storage)",https://m.media-amazon.com/images/I/71ij5dqxbeL._SX679_.jpg,"Labels: 'Mobile phone', 'Communication Device', 'Portable communications device', 'Gadget', 'Gesture', 'Grey', 'Telephony', 'Font', 'Smartphone', 'Rectangle', Texts: 'Redmi\nRedmi 12', 'Redmi', 'Redmi', '12', Logos: 'Redmi', 'Redmi', Objects: 'Mobile phone', 'Mobile phone'"
"Redmi A3 (Olive Green, 3GB RAM, 64GB Storage)",https://m.media-amazon.com/images/I/71dJSabHYiL._SX679_.jpg,"Labels: 'Automotive tire', 'Audio equipment', 'Automotive lighting', 'Font', 'Gadget', 'Communication Device', 'Sports equipment', 'Automotive design', 'Camera', 'Auto part', Texts: 'A CAMERA\nRedmi\nRedmi\nA3', 'A', 'CAMERA', 'Redmi', 'Redmi', 'A3', Logos: , Objects: 'Mobile phone', 'Mobile phone'"
Apple Iphone-14,https://m.media-amazon.com/images/I/51Sn5X2gfaL._SX679_.jpg,"Labels: 'Communication Device', 'Mobile phone', 'Portable communications device', 'Gesture', 'Telephony', 'Gadget', 'Smartphone', 'Aluminium', 'Metal', 'Mobile device', Texts: , Logos: 'iPhone', Objects: 'Mobile phone'"
Apple Iphone 15-pro Max,https://m.media-amazon.com/images/I/61Jrsu9d3-L._SX679_.jpg,"Labels: 'Mobile phone', 'Communication Device', 'Portable communications device', 'Gesture', 'Grey', 'Telephony', 'Gadget', 'Automotive exterior', 'Bumper', 'Smartphone', Texts: , Logos: , Objects: "
Iphone Case-cover,https://m.media-amazon.com/images/I/51pPPth9kyL._SX679_.jpg,"Labels: 'Grey', 'Gadget', 'Mp3 player', 'Gas', 'Font', 'Audio equipment', 'Circle', 'Rectangle', 'Multimedia', 'Electric blue', Texts: , Logos: 'Apple', Objects: 'Mobile phone', 'Camera'"
One Plus Nord3,https://m.media-amazon.com/images/I/51opW+tODpL._SY741_.jpg,"Labels: 'Fixture', 'Door', 'Rectangle', 'Gas', 'Font', 'Metal', 'Handle', 'Circle', 'Aluminium', 'Titanium', Texts: , Logos: 'OnePlus', Objects: 'Mobile phone'"
One Plus CE4,https://m.media-amazon.com/images/I/51jCor3c-EL._SX679_.jpg,"Labels: 'Communication Device', 'Gesture', 'Rectangle', 'Telephony', 'Portable communications device', 'Gadget', 'Smartphone', 'Metal', 'Electric blue', 'Mobile phone', Texts: , Logos: 'OnePlus', Objects: 'Mobile phone'"
